entity_a,entity_b,relation
142,342,3
36,136,1
97,0,0
36,0,0
243,343,3
126,226,2
220,200,0
155,355,3
60,160,1
285,200,0
138,338,3
252,200,0
207,200,0
381,300,0
173,100,0
12,0,0
3,0,0
141,100,0
155,255,2
66,0,0
57,157,1
247,200,0
232,200,0
160,100,0
227,200,0
51,0,0
297,397,3
45,145,1
279,200,0
225,200,0
1,0,0
168,368,3
58,158,1
108,208,2
9,0,0
333,300,0
191,391,3
142,242,2
169,100,0
163,100,0
172,372,3
19,319,3
65,365,3
328,300,0
81,181,1
231,331,3
240,200,0
249,349,3
211,200,0
148,100,0
172,100,0
187,100,0
152,100,0
268,200,0
59,0,0
54,354,3
149,100,0
115,100,0
72,172,1
358,300,0
189,100,0
301,300,0
190,290,2
217,200,0
165,365,3
109,100,0
362,300,0
197,397,3
85,0,0
291,200,0
8,0,0
88,188,1
163,263,2
203,200,0
123,223,2
135,100,0
385,300,0
59,359,3
178,378,3
43,343,3
98,398,3
166,266,2
33,0,0
292,200,0
278,200,0
87,0,0
180,280,2
185,385,3
144,244,2
181,281,2
1,101,1
19,0,0
52,352,3
346,300,0
37,137,1
145,345,3
134,334,3
96,0,0
68,168,1
103,303,3
25,0,0
54,0,0
50,150,1
306,300,0
188,388,3
280,380,3
230,330,3
33,133,1
228,328,3
274,200,0
298,200,0
275,200,0
169,369,3
264,364,3
309,300,0
267,200,0
97,197,1
151,100,0
73,373,3
388,300,0
34,0,0
6,0,0
41,341,3
37,0,0
134,100,0
136,100,0
228,200,0
246,346,3
145,245,2
380,300,0
272,372,3
157,100,0
127,100,0
89,389,3
56,156,1
335,300,0
214,200,0
117,317,3
397,300,0
48,348,3
90,0,0
345,300,0
268,368,3
356,300,0
347,300,0
282,200,0
150,100,0
142,100,0
193,393,3
32,132,1
140,100,0
55,155,1
124,224,2
122,100,0
17,317,3
287,200,0
175,275,2
67,0,0
379,300,0
241,341,3
196,396,3
153,100,0
37,337,3
204,304,3
109,209,2
198,100,0
152,352,3
181,381,3
74,0,0
389,300,0
186,386,3
314,300,0
260,360,3
54,154,1
143,100,0
44,344,3
93,193,1
273,200,0
329,300,0
176,376,3
15,115,1
243,200,0
27,0,0
46,0,0
174,274,2
111,100,0
177,377,3
210,200,0
154,354,3
10,310,3
23,0,0
24,124,1
135,235,2
176,100,0
167,100,0
105,305,3
12,312,3
80,380,3
171,100,0
364,300,0
318,300,0
64,164,1
229,200,0
189,389,3
196,100,0
256,200,0
88,0,0
125,100,0
170,270,2
23,323,3
128,328,3
162,100,0
299,200,0
28,0,0
238,200,0
30,330,3
31,331,3
313,300,0
61,161,1
239,200,0
294,394,3
175,100,0
16,316,3
263,200,0
281,381,3
12,112,1
284,384,3
262,362,3
86,186,1
222,322,3
157,257,2
125,325,3
248,348,3
44,144,1
250,200,0
3,103,1
49,349,3
70,0,0
344,300,0
116,316,3
247,347,3
116,216,2
46,146,1
7,107,1
17,0,0
248,200,0
16,116,1
288,200,0
16,0,0
11,311,3
4,104,1
146,346,3
295,200,0
121,321,3
256,356,3
216,200,0
327,300,0
238,338,3
259,359,3
319,300,0
262,200,0
53,353,3
86,386,3
223,323,3
21,121,1
273,373,3
50,350,3
305,300,0
56,356,3
44,0,0
213,313,3
184,384,3
129,329,3
60,360,3
240,340,3
291,391,3
159,259,2
107,100,0
178,278,2
4,304,3
175,375,3
51,351,3
260,200,0
219,200,0
73,173,1
286,386,3
370,300,0
224,200,0
91,391,3
39,0,0
98,0,0
81,0,0
185,100,0
316,300,0
115,315,3
105,205,2
237,337,3
276,200,0
147,347,3
84,384,3
296,200,0
64,364,3
293,393,3
140,340,3
176,276,2
210,310,3
124,100,0
225,325,3
183,100,0
286,200,0
170,100,0
122,322,3
132,100,0
253,353,3
178,100,0
265,365,3
299,399,3
229,329,3
249,200,0
57,357,3
102,100,0
143,343,3
112,100,0
183,383,3
307,300,0
220,320,3
147,100,0
153,353,3
373,300,0
258,200,0
96,396,3
217,317,3
35,135,1
2,0,0
261,200,0
199,100,0
61,0,0
75,0,0
56,0,0
64,0,0
271,200,0
139,339,3
194,394,3
70,370,3
298,398,3
110,310,3
73,0,0
399,300,0
113,100,0
131,331,3
78,378,3
69,369,3
367,300,0
232,332,3
341,300,0
363,300,0
177,100,0
371,300,0
236,336,3
94,0,0
184,284,2
296,396,3
69,0,0
369,300,0
297,200,0
93,0,0
332,300,0
123,100,0
99,399,3
49,0,0
315,300,0
30,0,0
340,300,0
242,342,3
111,311,3
24,324,3
50,0,0
146,246,2
55,0,0
131,100,0
253,200,0
