entity_a,entity_b,relation
1,0,0
1,101,1
1,301,3
2,0,0
2,102,1
2,302,3
3,0,0
3,103,1
3,303,3
4,0,0
4,104,1
4,304,3
5,0,0
5,105,1
5,305,3
6,0,0
6,106,1
6,306,3
7,0,0
7,107,1
7,307,3
8,0,0
8,108,1
8,308,3
9,0,0
9,109,1
9,309,3
10,0,0
10,110,1
10,310,3
11,0,0
11,111,1
11,311,3
12,0,0
12,112,1
12,312,3
13,0,0
13,113,1
13,313,3
14,0,0
14,114,1
14,314,3
15,0,0
15,115,1
15,315,3
16,0,0
16,116,1
16,316,3
17,0,0
17,117,1
17,317,3
18,0,0
18,118,1
18,318,3
19,0,0
19,119,1
19,319,3
20,0,0
20,120,1
20,320,3
21,0,0
21,121,1
21,321,3
22,0,0
22,122,1
22,322,3
23,0,0
23,123,1
23,323,3
24,0,0
24,124,1
24,324,3
25,0,0
25,125,1
25,325,3
26,0,0
26,126,1
26,326,3
27,0,0
27,127,1
27,327,3
28,0,0
28,128,1
28,328,3
29,0,0
29,129,1
29,329,3
30,0,0
30,130,1
30,330,3
31,0,0
31,131,1
31,331,3
32,0,0
32,132,1
32,332,3
33,0,0
33,133,1
33,333,3
34,0,0
34,134,1
34,334,3
35,0,0
35,135,1
35,335,3
36,0,0
36,136,1
36,336,3
37,0,0
37,137,1
37,337,3
38,0,0
38,138,1
38,338,3
39,0,0
39,139,1
39,339,3
40,0,0
40,140,1
40,340,3
41,0,0
41,141,1
41,341,3
42,0,0
42,142,1
42,342,3
43,0,0
43,143,1
43,343,3
44,0,0
44,144,1
44,344,3
45,0,0
45,145,1
45,345,3
46,0,0
46,146,1
46,346,3
47,0,0
47,147,1
47,347,3
48,0,0
48,148,1
48,348,3
49,0,0
49,149,1
49,349,3
50,0,0
50,150,1
50,350,3
51,0,0
51,151,1
51,351,3
52,0,0
52,152,1
52,352,3
53,0,0
53,153,1
53,353,3
54,0,0
54,154,1
54,354,3
55,0,0
55,155,1
55,355,3
56,0,0
56,156,1
56,356,3
57,0,0
57,157,1
57,357,3
58,0,0
58,158,1
58,358,3
59,0,0
