entity_a,entity_b,relation,hole_prediction,features,logistic_regression_prediction,"logistic_regression_rel0_prob,rel1_prob,rel2_prob,rel3_prob",random_forest_prediction,"random_forest_rel0_prob,rel1_prob,rel2_prob,rel3_prob",gradient_boosting_prediction,"gradient_boosting_rel0_prob,rel1_prob,rel2_prob,rel3_prob",xgboost_prediction,"xgboost_rel0_prob,rel1_prob,rel2_prob,rel3_prob"
142,342,3,[[3]],"[0.0808272436261177, 0.14009690284729004, -0.029771607369184494, -0.021824361756443977, 0.06026361137628555, -0.15213517844676971, 0.01308154035359621, -0.19893671572208405, 0.06743637472391129, -0.11143588274717331, 0.10677681118249893, 0.05361669510602951, 0.08574977517127991, -0.03013141267001629, 0.1410609483718872, 0.044724106788635254, -0.1149211898446083, -0.1002233624458313, -0.05509510636329651, 0.05675648897886276, -0.012056399136781693, 0.09034986793994904, -0.02939673140645027, 0.06740739941596985, -0.006279795430600643, 0.046154215931892395, 0.09835707396268845, 0.10513489693403244, -0.16584864258766174, -0.041576750576496124]",3,"[0.08266222199140694, 0.1063732368925374, 0.25679107791965555, 0.5541734631964]",3,"[0.0, 0.135, 0.111, 0.754]",3,"[0.0014762536813585508, 0.008082233763868992, 0.0019219366322490647, 0.9885195759225233]",3,"[0.003429276868700981, 0.010349743068218231, 0.011547046713531017, 0.9746739268302917]"
36,136,1,[[3]],"[0.1287330687046051, 0.11928168684244156, 0.09498699009418488, 0.06867434829473495, -0.15511368215084076, -0.0474296510219574, -0.12770415842533112, 0.10167752951383591, 0.2148308902978897, 0.023435493931174278, 0.21517294645309448, -0.07658734917640686, 0.028982678428292274, 0.19074423611164093, 0.10909475386142731, -0.02735290117561817, 0.030507856979966164, 0.13470929861068726, 0.04467003047466278, 0.11208602041006088, 0.02556430920958519, -0.09346260875463486, -0.11699400097131729, 0.016685867682099342, -0.09873160719871521, -0.013822220265865326, 0.08279415220022202, 0.07550277560949326, 0.13854146003723145, 0.035922903567552567]",3,"[0.03533687048667904, 0.09266589073082578, 0.2561891916128897, 0.6158080471696055]",3,"[0.0, 0.112, 0.341, 0.547]",3,"[0.0006063695325463179, 0.007709630933034854, 0.07663484934680598, 0.9150491501876127]",3,"[0.0022749986965209246, 0.0068457163870334625, 0.20651982724666595, 0.7843594551086426]"
97,0,0,[[0]],"[-0.06713378429412842, 0.034692104905843735, -0.0752931460738182, 0.060926053673028946, 0.027588242664933205, 0.10458080470561981, -0.05963010713458061, 0.0655803456902504, 0.04913466423749924, 0.12467176467180252, 0.07039167732000351, -0.05776680260896683, 0.03844732046127319, 0.09635177999734879, -0.1308107227087021, 0.192287877202034, 0.06034895032644272, 0.1790749728679657, 0.25158628821372986, -0.23091255128383636, -0.08519286662340164, 0.1509428769350052, 0.0022816623095422983, -0.19233748316764832, 0.053808581084012985, 0.0641859620809555, -0.15298694372177124, 0.18014012277126312, -0.07506848871707916, 0.24167294800281525]",0,"[0.8755595163112986, 0.06282384551241789, 0.023248423996470872, 0.038368214179812725]",0,"[1.0, 0.0, 0.0, 0.0]",0,"[0.9969622525154822, 0.002024208188350851, 0.0003249252303120337, 0.0006886140658550525]",0,"[0.9951115250587463, 0.0024051149375736713, 0.0008917420636862516, 0.0015916763804852962]"
36,0,0,[[0]],"[0.1287330687046051, 0.11928168684244156, 0.09498699009418488, 0.06867434829473495, -0.15511368215084076, -0.0474296510219574, -0.12770415842533112, 0.10167752951383591, 0.2148308902978897, 0.023435493931174278, 0.21517294645309448, -0.07658734917640686, 0.028982678428292274, 0.19074423611164093, 0.10909475386142731, 0.192287877202034, 0.06034895032644272, 0.1790749728679657, 0.25158628821372986, -0.23091255128383636, -0.08519286662340164, 0.1509428769350052, 0.0022816623095422983, -0.19233748316764832, 0.053808581084012985, 0.0641859620809555, -0.15298694372177124, 0.18014012277126312, -0.07506848871707916, 0.24167294800281525]",0,"[0.8492214578050131, 0.026979891196262065, 0.03127834884590446, 0.09252030215282044]",0,"[0.985, 0.0, 0.013, 0.002]",0,"[0.9974320046027462, 0.0015703624535759152, 0.0003250783296944413, 0.0006725546139835078]",0,"[0.9924748539924622, 0.0028437685687094927, 0.0016193719347938895, 0.0030620431061834097]"
243,343,3,[[3]],"[-0.22212719917297363, -0.03405604884028435, 0.12181680649518967, 0.0554327592253685, 0.018234293907880783, 0.016493968665599823, 0.0361422561109066, 0.14003974199295044, 0.3001643717288971, 0.10652806609869003, -0.10501819849014282, 0.02121252939105034, -0.30195847153663635, -0.05168473720550537, 0.06917548179626465, 0.045163508504629135, -0.07643042504787445, -0.13171692192554474, -0.0380321629345417, 0.13672177493572235, -0.13530190289020538, -0.02059265412390232, -0.1271742433309555, -0.054309405386447906, -0.1274121105670929, 0.09626970440149307, 0.18826323747634888, 0.27157291769981384, 0.08459050208330154, -0.04288068041205406]",3,"[0.057898226562789847, 0.10445490681881264, 0.10962420449084025, 0.7280226621275573]",3,"[0.0, 0.307, 0.235, 0.458]",3,"[0.0028519363822591395, 0.04040896797211917, 0.034316386353603484, 0.9224227092920182]",3,"[0.006417444907128811, 0.0232501532882452, 0.09557001292705536, 0.8747623562812805]"
126,226,2,[[3]],"[-0.1536123901605606, 0.19674919545650482, 0.020433742552995682, -0.01686638593673706, -0.27683594822883606, 0.013837270438671112, 0.0511532723903656, 0.10903970152139664, 0.08541455119848251, 0.15496774017810822, 0.16122731566429138, 0.0561569407582283, 0.00851114746183157, 0.1587851643562317, 0.11064829677343369, 0.1173708438873291, -0.02424372360110283, 0.0507168285548687, -0.014048397541046143, 0.07632109522819519, 0.03754603490233421, -0.07339030504226685, -0.09614937007427216, 0.15015651285648346, 0.15056787431240082, 0.04777907580137253, 0.0176578089594841, -0.08884061127901077, 0.13297228515148163, 0.07812187820672989]",2,"[0.04130843292477469, 0.09469088544857508, 0.5219818165467542, 0.342018865079896]",2,"[0.0, 0.188, 0.598, 0.214]",2,"[0.0003828009659984498, 0.003505971317177264, 0.9933012825076929, 0.0028099452091317734]",2,"[0.0016644521383568645, 0.006633276119828224, 0.9815681576728821, 0.01013416238129139]"
220,200,0,[[0]],"[-0.12318968772888184, 0.161722332239151, 0.04227715730667114, 0.18803691864013672, -0.03071894496679306, -0.035397324711084366, -0.03804336115717888, -0.15588423609733582, 0.2870244085788727, -0.09546415507793427, -0.09802522510290146, -0.05892448127269745, -0.2355935126543045, -0.12971606850624084, 0.03428176790475845, 0.12960757315158844, 0.08884453028440475, 0.11251704394817352, 0.18140630424022675, -0.21417902410030365, -0.1596035212278366, 0.15454533696174622, -0.006711791269481182, -0.13448207080364227, 0.16543613374233246, 0.05062073841691017, -0.1877966821193695, 0.11100327968597412, -0.11238658428192139, 0.21299099922180176]",0,"[0.8576878221884024, 0.044042091808228497, 0.053397767655161646, 0.044872318348207284]",0,"[0.989, 0.001, 0.01, 0.0]",0,"[0.9965873767895477, 0.001976002688316351, 0.00038329931085134226, 0.0010533212112841157]",0,"[0.993392288684845, 0.002948789857327938, 0.002007043454796076, 0.0016518685733899474]"
155,355,3,[[3]],"[0.05654112994670868, -0.0023325656075030565, -0.10436953604221344, -0.07885395735502243, -0.035564716905355453, 0.0962376818060875, -0.12150794267654419, -0.14341536164283752, -0.050556477159261703, 0.006485155317932367, 0.009323930367827415, -0.12512639164924622, 0.11354690790176392, 0.0977921336889267, 0.009810484945774078, 0.06570274382829666, 0.02697574533522129, -0.15207308530807495, -0.0598205104470253, 0.11760974675416946, 0.03889192268252373, 0.08518456667661667, -0.024715077131986618, 0.019975801929831505, -0.017166851088404655, -0.05509716272354126, 0.2325478196144104, -0.15215665102005005, -0.07946988195180893, -0.006706255488097668]",3,"[0.01663953067121038, 0.17456405966553998, 0.15029156105221517, 0.6585048486110345]",3,"[0.0, 0.007, 0.011, 0.982]",3,"[0.0003625557097734288, 0.0020647377230238527, 0.0004763125743543404, 0.9970963939928486]",3,"[0.0005743121728301048, 0.0019406258361414075, 0.0008672041003592312, 0.99661785364151]"
60,160,1,[[2]],"[-0.632533609867096, 0.6169300675392151, 0.5346847772598267, -0.2960435450077057, -0.49302607774734497, 0.012124505825340748, -0.025119200348854065, 0.42603248357772827, -0.03966781124472618, -0.47105148434638977, -0.5734210014343262, 0.21884165704250336, -0.617319643497467, -0.008074619807302952, 0.5711771249771118, 0.015604082494974136, 0.004940822254866362, -0.008312077261507511, -0.08679123967885971, -0.03047819808125496, 0.13454057276248932, -0.08336710929870605, 0.07768760621547699, -0.010064302012324333, -0.1629256159067154, 0.013139918446540833, -0.05299371853470802, 0.13854491710662842, 0.006096033379435539, 0.1810847371816635]",2,"[0.1310064157842331, 0.11603372994461883, 0.4845183753672757, 0.2684414789038724]",2,"[0.002, 0.356, 0.45, 0.192]",1,"[0.018929621952074677, 0.6796522325733323, 0.257407992533365, 0.044010152941228044]",2,"[0.009393501095473766, 0.1693340539932251, 0.7750115990638733, 0.04626084864139557]"
285,200,0,[[0]],"[-0.07049129903316498, 0.03977205976843834, -0.1197793185710907, -0.0013112133601680398, 0.05839620530605316, 0.13730566203594208, -0.14305923879146576, 0.0865635871887207, -0.024483023211359978, -0.1578417420387268, -0.02747412398457527, -0.007776264566928148, 0.09543535113334656, -0.0693235918879509, -0.0030250672716647387, 0.12960757315158844, 0.08884453028440475, 0.11251704394817352, 0.18140630424022675, -0.21417902410030365, -0.1596035212278366, 0.15454533696174622, -0.006711791269481182, -0.13448207080364227, 0.16543613374233246, 0.05062073841691017, -0.1877966821193695, 0.11100327968597412, -0.11238658428192139, 0.21299099922180176]",0,"[0.844263444205393, 0.07907997652823116, 0.05028540579898848, 0.02637117346738726]",0,"[1.0, 0.0, 0.0, 0.0]",0,"[0.9978547053410088, 0.0010691366683136608, 0.000386927496701114, 0.0006892304939767985]",0,"[0.9956417083740234, 0.0019159098155796528, 0.001320141600444913, 0.001122203771956265]"
