entity_a,entity_b,relation,hole_prediction,features,logistic_regression_prediction,"logistic_regression_rel0_prob,rel1_prob,rel2_prob,rel3_prob",random_forest_prediction,"random_forest_rel0_prob,rel1_prob,rel2_prob,rel3_prob",gradient_boosting_prediction,"gradient_boosting_rel0_prob,rel1_prob,rel2_prob,rel3_prob",xgboost_prediction,"xgboost_rel0_prob,rel1_prob,rel2_prob,rel3_prob"
94,394,3,[[3]],"[-0.04789309576153755, 0.025119872763752937, 0.18966107070446014, 0.026436476036906242, -0.0735919177532196, 0.11745596677064896, -0.054324839264154434, 0.14589016139507294, -0.058047764003276825, 0.07380077987909317, 0.010514608584344387, -0.06875697523355484, 0.14176765084266663, 0.0027637197636067867, 0.010107539594173431, -0.13083797693252563, -0.0761614441871643, 0.07061971724033356, -0.1271098405122757, -0.019793426617980003, -0.1480388194322586, -0.015178700909018517, 0.006946503650397062, 0.013034776784479618, 0.04309049993753433, -0.035020582377910614, 0.20387668907642365, 0.02291228622198105, 0.02746153064072132, -0.04229070991277695]",3,"[0.026801705861526873, 0.23853917017367246, 0.13590413430465717, 0.5987549896601435]",3,"[0.0, 0.074, 0.04, 0.886]",3,"[0.0010292480126004742, 0.006088327347415425, 0.0021680926013981083, 0.9907143320385858]",3,"[0.0028383200988173485, 0.02779162861406803, 0.010470394976437092, 0.9588996767997742]"
375,300,0,[[0]],"[0.0893133282661438, -0.056166671216487885, -0.10784505307674408, 0.021827729418873787, 0.07256178557872772, 0.05280325189232826, -0.01455930806696415, -0.01058625616133213, -0.07482507824897766, -0.10032603144645691, -0.08653450012207031, 0.233977809548378, 0.005554214585572481, -0.026128193363547325, -0.08798858523368835, 0.09743394702672958, 0.07571478933095932, 0.10391977429389954, 0.13125351071357727, -0.165028378367424, -0.17945939302444458, 0.15365304052829742, 0.0677412748336792, -0.16952887177467346, 0.0861729308962822, 0.08085040748119354, -0.10879497975111008, 0.1462966948747635, -0.20083482563495636, 0.22648581862449646]",0,"[0.840536753929362, 0.08840308136258566, 0.038980690905961096, 0.03207947380209123]",0,"[1.0, 0.0, 0.0, 0.0]",0,"[0.9979697487653727, 0.0010156876900125388, 0.0003252535887330353, 0.0006893099558822029]",0,"[0.9957566857337952, 0.002269973047077656, 0.001107246964238584, 0.0008660557796247303]"
339,300,0,[[0]],"[-0.06735873222351074, 0.013875678181648254, -0.10182242095470428, -0.09921244531869888, 0.16950082778930664, -0.12206057459115982, 0.07255424559116364, 0.010488852858543396, -0.1243700459599495, -0.13871824741363525, -0.05845949426293373, 0.07330393046140671, -0.049662068486213684, 0.01399217639118433, -0.1229209378361702, 0.09743394702672958, 0.07571478933095932, 0.10391977429389954, 0.13125351071357727, -0.165028378367424, -0.17945939302444458, 0.15365304052829742, 0.0677412748336792, -0.16952887177467346, 0.0861729308962822, 0.08085040748119354, -0.10879497975111008, 0.1462966948747635, -0.20083482563495636, 0.22648581862449646]",0,"[0.8546252176030261, 0.07480895055998314, 0.046196978044691854, 0.02436885379229892]",0,"[1.0, 0.0, 0.0, 0.0]",0,"[0.9980839580076626, 0.0009080085723008516, 0.0003186445784287805, 0.0006893888416078095]",0,"[0.9944755434989929, 0.0028679650276899338, 0.0017423402750864625, 0.0009141590562649071]"
204,200,0,[[0]],"[0.10492339730262756, -0.08612923324108124, -0.09499158710241318, -0.08094287663698196, 0.17810934782028198, -0.08458919823169708, 0.04612620547413826, 0.08757191151380539, 0.008496289141476154, -0.011328460648655891, -0.040797892957925797, -0.07743331789970398, -0.05934201553463936, -0.030067672953009605, 0.18192829191684723, 0.12960757315158844, 0.08884453028440475, 0.11251704394817352, 0.18140630424022675, -0.21417902410030365, -0.1596035212278366, 0.15454533696174622, -0.006711791269481182, -0.13448207080364227, 0.16543613374233246, 0.05062073841691017, -0.1877966821193695, 0.11100327968597412, -0.11238658428192139, 0.21299099922180176]",0,"[0.8333982100954771, 0.041779093610283105, 0.10348342882644469, 0.021339267467795006]",0,"[1.0, 0.0, 0.0, 0.0]",0,"[0.9979229194684932, 0.001069209755331841, 0.0003185931658627211, 0.0006892776103120036]",0,"[0.9949823021888733, 0.001504206913523376, 0.0024134896229952574, 0.001100013847462833]"
35,0,0,[[0]],"[0.08036293834447861, -0.0469207838177681, 0.0742265060544014, 0.03668670356273651, 0.0277797132730484, -0.003383827628567815, 0.03939596191048622, 0.08906321972608566, 0.12066016346216202, 0.07544727623462677, -0.04422825947403908, 0.10269052535295486, 0.04464851692318916, 0.18007710576057434, -0.024821270257234573, 0.192287877202034, 0.06034895032644272, 0.1790749728679657, 0.25158628821372986, -0.23091255128383636, -0.08519286662340164, 0.1509428769350052, 0.0022816623095422983, -0.19233748316764832, 0.053808581084012985, 0.0641859620809555, -0.15298694372177124, 0.18014012277126312, -0.07506848871707916, 0.24167294800281525]",0,"[0.878152467358677, 0.05060051096942667, 0.039401696163955946, 0.03184532550794031]",0,"[1.0, 0.0, 0.0, 0.0]",0,"[0.9978649488690283, 0.0011278148376918417, 0.00031799872397269457, 0.0006892375693073449]",0,"[0.9953562617301941, 0.0017536698142066598, 0.001356260385364294, 0.001533783390186727]"
334,300,0,[[0]],"[-0.09168565273284912, 0.06436130404472351, 0.15211577713489532, 0.044585149735212326, 0.05564654991030693, 0.10989335179328918, -0.04162520915269852, 0.030464522540569305, 0.051851123571395874, -0.030736185610294342, 0.10765649378299713, -0.08590799570083618, -0.09185971319675446, -0.09013435244560242, 0.09055927395820618, 0.09743394702672958, 0.07571478933095932, 0.10391977429389954, 0.13125351071357727, -0.165028378367424, -0.17945939302444458, 0.15365304052829742, 0.0677412748336792, -0.16952887177467346, 0.0861729308962822, 0.08085040748119354, -0.10879497975111008, 0.1462966948747635, -0.20083482563495636, 0.22648581862449646]",0,"[0.8262030203693449, 0.05496711038352083, 0.03098665287883409, 0.08784321636830014]",0,"[1.0, 0.0, 0.0, 0.0]",0,"[0.9978163961321023, 0.001110627828311821, 0.0003837720062496541, 0.000689204033335949]",0,"[0.9956774115562439, 0.0015315532218664885, 0.001512552029453218, 0.0012784878490492702]"
320,300,0,[[0]],"[-0.17444130778312683, 0.08142730593681335, -0.0478973314166069, -0.015200499445199966, 0.20076553523540497, 0.09024651348590851, -0.12917670607566833, -0.13626477122306824, 0.05140377953648567, -0.05957746505737305, -0.07734937220811844, 0.08794751018285751, 0.1459687352180481, 0.000857094710227102, 0.035481054335832596, 0.09743394702672958, 0.07571478933095932, 0.10391977429389954, 0.13125351071357727, -0.165028378367424, -0.17945939302444458, 0.15365304052829742, 0.0677412748336792, -0.16952887177467346, 0.0861729308962822, 0.08085040748119354, -0.10879497975111008, 0.1462966948747635, -0.20083482563495636, 0.22648581862449646]",0,"[0.8571042203853567, 0.06735692399463362, 0.033105441096415875, 0.04243341452359396]",0,"[1.0, 0.0, 0.0, 0.0]",0,"[0.9978748400623737, 0.0011106928798138888, 0.000325222656536653, 0.0006892444012760056]",0,"[0.9961022138595581, 0.0016619490925222635, 0.001045373035594821, 0.0011905028950423002]"
290,390,3,[[3]],"[-0.06504347175359726, 0.04096851870417595, 0.14547134935855865, 0.009024766273796558, -0.09531443566083908, 0.09629819542169571, 0.016826080158352852, -0.05448267236351967, -0.0650147795677185, 0.06356271356344223, 0.06672696024179459, -0.08137275278568268, 0.05430620536208153, 0.18024323880672455, 0.09590161591768265, -0.11283059418201447, -0.1444430947303772, -0.03907103091478348, -0.13035261631011963, 0.11367012560367584, -0.0492883026599884, 0.026730364188551903, 0.02515449747443199, -0.13572362065315247, 0.0039970725774765015, -0.025189541280269623, 0.12449555099010468, -0.0729992464184761, 0.012163319624960423, 0.029217954725027084]",3,"[0.02419571348517651, 0.1257553257969151, 0.08667492669372681, 0.7633740340241816]",3,"[0.0, 0.004, 0.001, 0.995]",3,"[0.0003690216251277262, 0.0020904980266658554, 0.0004804297448202606, 0.997060050603386]",3,"[0.0007693078368902206, 0.0010218427050858736, 0.001180115039460361, 0.9970287680625916]"
162,262,2,[[2]],"[0.030433107167482376, -0.053919967263936996, -0.07998734712600708, -0.08817283064126968, -0.0051750424318015575, 0.004716378170996904, 0.13437387347221375, -0.05528634786605835, -0.11818549036979675, -0.07153552025556564, -0.022232310846447945, -0.0401156060397625, -0.002270584926009178, 0.015350122936069965, 0.08907145261764526, 0.012301331385970116, 0.1048029437661171, -0.13076525926589966, -0.04477214068174362, -0.04628458991646767, -0.07499425113201141, 0.03812528774142265, -0.08873338252305984, -0.03661005198955536, 0.07667406648397446, 0.09916388243436813, -0.023166485130786896, 0.07770296186208725, 0.11707941442728043, -0.017085552215576172]",2,"[0.14297397890427696, 0.18951566843978584, 0.49761946264844975, 0.1698908900074874]",2,"[0.0, 0.136, 0.82, 0.044]",2,"[0.0010555953068656677, 0.012444304393689706, 0.9829892091813726, 0.0035108911180721574]",2,"[0.007435935549438, 0.06225263327360153, 0.9193883538246155, 0.010923094116151333]"
144,100,0,[[0]],"[-0.07178851217031479, 0.01083775982260704, 0.08335591107606888, 0.08397914469242096, 0.013542515225708485, -0.14705237746238708, -0.13573403656482697, -0.050363924354314804, 0.12236346304416656, -0.03608359023928642, 0.061761822551488876, 0.12337769567966461, -0.014895789325237274, 0.1337132751941681, -0.019423814490437508, 0.17623573541641235, 0.06283372640609741, 0.1114208996295929, 0.17048342525959015, -0.2732074558734894, -0.1609894186258316, 0.15801505744457245, -0.011756641790270805, -0.12313476204872131, 0.1391882449388504, 0.052922189235687256, -0.18239209055900574, 0.16599838435649872, -0.12458008527755737, 0.0941801443696022]",0,"[0.8641278189320538, 0.05129873348956857, 0.04288478382200434, 0.04168866375637338]",0,"[1.0, 0.0, 0.0, 0.0]",0,"[0.9976602369007586, 0.0013255142129156216, 0.00032515271408744065, 0.0006890961722379535]",0,"[0.9957056641578674, 0.0018975086277350783, 0.0010515617905184627, 0.0013452431885525584]"
77,177,1,[[1]],"[0.12091569602489471, 0.07094798982143402, 0.014235437847673893, 0.1108681857585907, -0.05579366534948349, 0.07805021852254868, -0.14827564358711243, 0.03361460939049721, 0.0641702264547348, -0.1911352276802063, 0.06518181413412094, -0.06316489726305008, -0.017764687538146973, 0.19039995968341827, -0.09776263684034348, 0.16430231928825378, 0.038845572620630264, 0.0052648019045591354, -0.15189407765865326, -0.11141310632228851, -0.05134212598204613, 0.021931489929556847, -0.04977792501449585, 0.10031202435493469, -0.015195968560874462, -0.005286760162562132, 0.10430356115102768, -0.006681016646325588, -0.02942017838358879, -0.012827608734369278]",1,"[0.06245304404998409, 0.4568435617343379, 0.10071432762442203, 0.379989066591256]",1,"[0.0, 0.89, 0.044, 0.066]",1,"[0.0029182848384820257, 0.986488664220383, 0.0041676687414751, 0.006425382199660119]",1,"[0.0024360865354537964, 0.9821128845214844, 0.002919180551543832, 0.012531895190477371]"
254,200,0,[[0]],"[0.0668991431593895, -0.036689817905426025, 0.00293824914842844, 0.10135629028081894, -0.13713496923446655, 0.09331557154655457, -0.08862350136041641, 0.07234030216932297, 0.1069299578666687, 0.12886302173137665, 0.017970098182559013, -0.05736813694238663, -0.16147476434707642, 0.09578021615743637, -0.05585002526640892, 0.12960757315158844, 0.08884453028440475, 0.11251704394817352, 0.18140630424022675, -0.21417902410030365, -0.1596035212278366, 0.15454533696174622, -0.006711791269481182, -0.13448207080364227, 0.16543613374233246, 0.05062073841691017, -0.1877966821193695, 0.11100327968597412, -0.11238658428192139, 0.21299099922180176]",0,"[0.8358566166536602, 0.06917512188308547, 0.029325384891032678, 0.06564287657222181]",0,"[1.0, 0.0, 0.0, 0.0]",0,"[0.9971247421400441, 0.0018615533723593057, 0.00032497818816329724, 0.0006887262994333515]",0,"[0.9941462278366089, 0.00270541082136333, 0.0011380580253899097, 0.0020103007555007935]"
22,322,3,[[3]],"[0.021615881472826004, -0.07783015072345734, -0.0237293541431427, 0.07307944446802139, -0.07932204753160477, 0.11436847597360611, -0.011380999349057674, 0.20306387543678284, 0.04261977598071098, 0.08376983553171158, 0.05652403086423874, -0.17699195444583893, -0.09659873694181442, 0.14307929575443268, -0.08926603198051453, -0.01652206853032112, -0.12097186595201492, -0.16644801199436188, -0.13704654574394226, 0.12172847986221313, 0.005598046816885471, 0.028305917978286743, 0.0036777695640921593, 0.03247038647532463, 0.04715845733880997, 0.0417129322886467, 0.1354088932275772, -0.10726920515298843, -0.07476945966482162, -0.0010818862356245518]",3,"[0.012851094155510391, 0.24726683808950672, 0.07515291865207212, 0.6647291491029108]",3,"[0.0, 0.03, 0.003, 0.967]",3,"[0.00036402085235231416, 0.007769726909389033, 0.00047391923208929597, 0.9913923330061694]",3,"[0.0006429164204746485, 0.008397075347602367, 0.0010132810566574335, 0.9899467825889587]"
91,0,0,[[0]],"[-0.056564245373010635, -0.11566281318664551, 0.16364534199237823, -0.0016862103948369622, 0.023825446143746376, -0.016941023990511894, -0.062378596514463425, -0.04172155633568764, 0.044583819806575775, -0.12566684186458588, 0.0016469347756356, -0.13442286849021912, -0.04262269660830498, 0.06122327223420143, -0.04698549956083298, 0.192287877202034, 0.06034895032644272, 0.1790749728679657, 0.25158628821372986, -0.23091255128383636, -0.08519286662340164, 0.1509428769350052, 0.0022816623095422983, -0.19233748316764832, 0.053808581084012985, 0.0641859620809555, -0.15298694372177124, 0.18014012277126312, -0.07506848871707916, 0.24167294800281525]",0,"[0.8698921258931268, 0.06921900033880415, 0.03702414344359985, 0.023864730324469105]",0,"[1.0, 0.0, 0.0, 0.0]",0,"[0.9977180895929173, 0.001267602706116701, 0.000325171569163725, 0.0006891361318025885]",0,"[0.9953906536102295, 0.002313426695764065, 0.0009896266274154186, 0.0013062374200671911]"
124,324,3,[[3]],"[-0.14164815843105316, -0.10486133396625519, 0.15410272777080536, 0.2112797498703003, -0.0457516647875309, 0.20258720219135284, -0.04974577948451042, -0.12364476919174194, 0.03529791533946991, -0.10757458955049515, 0.03735387325286865, -0.096664197742939, 0.09874184429645538, 0.14780773222446442, 0.01413813978433609, -0.14406655728816986, -0.12433503568172455, -0.004049746785312891, -0.007610568776726723, -0.021064583212137222, -0.011927048675715923, 0.1264406442642212, -0.17356938123703003, 0.029479702934622765, -0.09288572520017624, -0.01845025271177292, 0.14464865624904633, -0.031538791954517365, -0.05333465710282326, -0.08696893602609634]",3,"[0.023600388403247602, 0.2745314985098898, 0.06289639401614218, 0.6389717190707204]",3,"[0.0, 0.064, 0.013, 0.923]",3,"[0.0006128697556647741, 0.0091316445652148, 0.0008615561623162015, 0.9893939295168043]",3,"[0.001662068534642458, 0.022022580727934837, 0.0020261157769709826, 0.9742892384529114]"
330,300,0,[[0]],"[-0.057709451764822006, -0.04932733625173569, -0.19600075483322144, -0.2198665589094162, 0.08222273737192154, -0.02893899381160736, 0.136013925075531, -0.022410430014133453, -0.11758425831794739, -0.07747971266508102, -0.014249353669583797, 0.002794587519019842, -0.09771324694156647, -0.21195584535598755, 0.022851815447211266, 0.09743394702672958, 0.07571478933095932, 0.10391977429389954, 0.13125351071357727, -0.165028378367424, -0.17945939302444458, 0.15365304052829742, 0.0677412748336792, -0.16952887177467346, 0.0861729308962822, 0.08085040748119354, -0.10879497975111008, 0.1462966948747635, -0.20083482563495636, 0.22648581862449646]",0,"[0.8423835457146857, 0.03369020170165023, 0.09929785339044404, 0.024628399193220088]",0,"[1.0, 0.0, 0.0, 0.0]",0,"[0.998128122579372, 0.0007465984221944179, 0.0004358596518142537, 0.0006894193466196239]",0,"[0.993030846118927, 0.002263805363327265, 0.0036818624939769506, 0.0010234626242890954]"
58,0,0,[[0]],"[-0.04208598658442497, 0.10552692413330078, 0.04450836405158043, 0.0020900520030409098, -0.14485812187194824, 0.205811008810997, 0.051495376974344254, -0.005418095272034407, 0.013104668818414211, -0.11014442890882492, 0.07399320602416992, 0.03443005681037903, -0.017742641270160675, 0.09719724208116531, -0.07663419097661972, 0.192287877202034, 0.06034895032644272, 0.1790749728679657, 0.25158628821372986, -0.23091255128383636, -0.08519286662340164, 0.1509428769350052, 0.0022816623095422983, -0.19233748316764832, 0.053808581084012985, 0.0641859620809555, -0.15298694372177124, 0.18014012277126312, -0.07506848871707916, 0.24167294800281525]",0,"[0.8741346110168047, 0.049957503131000086, 0.03900169610375971, 0.03690618974843546]",0,"[0.999, 0.0, 0.001, 0.0]",0,"[0.9977252928165123, 0.001267611857825803, 0.00031795421850474973, 0.0006891411071575476]",0,"[0.9937114715576172, 0.002603228436782956, 0.0017031229799613357, 0.001982190879061818]"
